product_id,name,category,catalogue_ref,pieces_config,material,price_kes_indicative,variant_label,image_lg,image_sm
rubber-set-04,Hardshell 4-Piece Set — Style 04,suitcases,Catalogue group 04,4-piece set (four graduated sizes),"Smooth hardshell (“rubber-finish” shell), spinner wheels",12500,Tan,images/lg/rubber-set-04-6.jpg,images/sm/rubber-set-04-6.jpg
rubber-set-04,Hardshell 4-Piece Set — Style 04,suitcases,Catalogue group 04,4-piece set (four graduated sizes),"Smooth hardshell (“rubber-finish” shell), spinner wheels",12500,Light Blue,images/lg/rubber-set-04-7.jpg,images/sm/rubber-set-04-7.jpg
themed-suitcases,Themed Suitcase Collection,suitcases,Catalogue group 05,3-piece set,"Printed hardshell, spinner wheels",14500,Cat Print,images/lg/themed-suitcases-1.jpg,images/sm/themed-suitcases-1.jpg
themed-suitcases,Themed Suitcase Collection,suitcases,Catalogue group 05,3-piece set,"Printed hardshell, spinner wheels",14500,Cloud Blue,images/lg/themed-suitcases-2.jpg,images/sm/themed-suitcases-2.jpg
themed-suitcases,Themed Suitcase Collection,suitcases,Catalogue group 05,3-piece set,"Printed hardshell, spinner wheels",14500,Europe Navy,images/lg/themed-suitcases-3.jpg,images/sm/themed-suitcases-3.jpg
themed-suitcases,Themed Suitcase Collection,suitcases,Catalogue group 05,3-piece set,"Printed hardshell, spinner wheels",14500,Pink Bear,images/lg/themed-suitcases-4.jpg,images/sm/themed-suitcases-4.jpg
themed-suitcases,Themed Suitcase Collection,suitcases,Catalogue group 05,3-piece set,"Printed hardshell, spinner wheels",14500,Teal Bear,images/lg/themed-suitcases-5.jpg,images/sm/themed-suitcases-5.jpg
themed-suitcases,Themed Suitcase Collection,suitcases,Catalogue group 05,3-piece set,"Printed hardshell, spinner wheels",14500,Hot Pink Graffiti,images/lg/themed-suitcases-6.jpg,images/sm/themed-suitcases-6.jpg
themed-suitcases,Themed Suitcase Collection,suitcases,Catalogue group 05,3-piece set,"Printed hardshell, spinner wheels",14500,Cream Bear,images/lg/themed-suitcases-7.jpg,images/sm/themed-suitcases-7.jpg
themed-suitcases,Themed Suitcase Collection,suitcases,Catalogue group 05,3-piece set,"Printed hardshell, spinner wheels",14500,Europe Teal,images/lg/themed-suitcases-8.jpg,images/sm/themed-suitcases-8.jpg
chevron-single,Chevron-Shell Suitcase — Single,suitcases,Catalogue group 06,Single suitcase (sold individually),"Textured hardshell, chevron shell pattern, spinner wheels",6500,Black,images/lg/chevron-single-1.jpg,images/sm/chevron-single-1.jpg
chevron-single,Chevron-Shell Suitcase — Single,suitcases,Catalogue group 06,Single suitcase (sold individually),"Textured hardshell, chevron shell pattern, spinner wheels",6500,Blue,images/lg/chevron-single-2.jpg,images/sm/chevron-single-2.jpg
chevron-single,Chevron-Shell Suitcase — Single,suitcases,Catalogue group 06,Single suitcase (sold individually),"Textured hardshell, chevron shell pattern, spinner wheels",6500,Pink,images/lg/chevron-single-3.jpg,images/sm/chevron-single-3.jpg
chevron-single,Chevron-Shell Suitcase — Single,suitcases,Catalogue group 06,Single suitcase (sold individually),"Textured hardshell, chevron shell pattern, spinner wheels",6500,Purple,images/lg/chevron-single-4.jpg,images/sm/chevron-single-4.jpg
chevron-single,Chevron-Shell Suitcase — Single,suitcases,Catalogue group 06,Single suitcase (sold individually),"Textured hardshell, chevron shell pattern, spinner wheels",6500,Beige,images/lg/chevron-single-5.jpg,images/sm/chevron-single-5.jpg
diamond-single,Diamond-Ribbed Suitcase — Single,suitcases,Catalogue group 06,Single suitcase (sold individually),"Textured hardshell, diamond-ribbed shell pattern, spinner wheels",6500,Plum,images/lg/diamond-single-1.jpg,images/sm/diamond-single-1.jpg
diamond-single,Diamond-Ribbed Suitcase — Single,suitcases,Catalogue group 06,Single suitcase (sold individually),"Textured hardshell, diamond-ribbed shell pattern, spinner wheels",6500,Pink,images/lg/diamond-single-2.jpg,images/sm/diamond-single-2.jpg
diamond-single,Diamond-Ribbed Suitcase — Single,suitcases,Catalogue group 06,Single suitcase (sold individually),"Textured hardshell, diamond-ribbed shell pattern, spinner wheels",6500,Taupe,images/lg/diamond-single-3.jpg,images/sm/diamond-single-3.jpg
diamond-single,Diamond-Ribbed Suitcase — Single,suitcases,Catalogue group 06,Single suitcase (sold individually),"Textured hardshell, diamond-ribbed shell pattern, spinner wheels",6500,Mauve,images/lg/diamond-single-4.jpg,images/sm/diamond-single-4.jpg
diamond-single,Diamond-Ribbed Suitcase — Single,suitcases,Catalogue group 06,Single suitcase (sold individually),"Textured hardshell, diamond-ribbed shell pattern, spinner wheels",6500,Blue,images/lg/diamond-single-5.jpg,images/sm/diamond-single-5.jpg
np12-double-zip,NP12 Double-Zip Suitcase Set,suitcases,Catalogue group 07 · Model NP12,4-piece set (four graduated sizes),"Hardshell, double-zip closure, spinner wheels",15000,Lake Blue,images/lg/np12-double-zip-1.jpg,images/sm/np12-double-zip-1.jpg
np12-double-zip,NP12 Double-Zip Suitcase Set,suitcases,Catalogue group 07 · Model NP12,4-piece set (four graduated sizes),"Hardshell, double-zip closure, spinner wheels",15000,Deep Grey Blue,images/lg/np12-double-zip-2.jpg,images/sm/np12-double-zip-2.jpg
np12-double-zip,NP12 Double-Zip Suitcase Set,suitcases,Catalogue group 07 · Model NP12,4-piece set (four graduated sizes),"Hardshell, double-zip closure, spinner wheels",15000,Deep Grey,images/lg/np12-double-zip-3.jpg,images/sm/np12-double-zip-3.jpg
np12-double-zip,NP12 Double-Zip Suitcase Set,suitcases,Catalogue group 07 · Model NP12,4-piece set (four graduated sizes),"Hardshell, double-zip closure, spinner wheels",15000,Rose Gold,images/lg/np12-double-zip-4.jpg,images/sm/np12-double-zip-4.jpg
np12-double-zip,NP12 Double-Zip Suitcase Set,suitcases,Catalogue group 07 · Model NP12,4-piece set (four graduated sizes),"Hardshell, double-zip closure, spinner wheels",15000,Purple,images/lg/np12-double-zip-5.jpg,images/sm/np12-double-zip-5.jpg
np12-double-zip,NP12 Double-Zip Suitcase Set,suitcases,Catalogue group 07 · Model NP12,4-piece set (four graduated sizes),"Hardshell, double-zip closure, spinner wheels",15000,Deep Blue,images/lg/np12-double-zip-6.jpg,images/sm/np12-double-zip-6.jpg
np12-double-zip,NP12 Double-Zip Suitcase Set,suitcases,Catalogue group 07 · Model NP12,4-piece set (four graduated sizes),"Hardshell, double-zip closure, spinner wheels",15000,Grey Blue,images/lg/np12-double-zip-7.jpg,images/sm/np12-double-zip-7.jpg
np12-double-zip,NP12 Double-Zip Suitcase Set,suitcases,Catalogue group 07 · Model NP12,4-piece set (four graduated sizes),"Hardshell, double-zip closure, spinner wheels",15000,Brown,images/lg/np12-double-zip-8.jpg,images/sm/np12-double-zip-8.jpg
np12-double-zip,NP12 Double-Zip Suitcase Set,suitcases,Catalogue group 07 · Model NP12,4-piece set (four graduated sizes),"Hardshell, double-zip closure, spinner wheels",15000,Rock Green,images/lg/np12-double-zip-9.jpg,images/sm/np12-double-zip-9.jpg
np12-double-zip,NP12 Double-Zip Suitcase Set,suitcases,Catalogue group 07 · Model NP12,4-piece set (four graduated sizes),"Hardshell, double-zip closure, spinner wheels",15000,Golden,images/lg/np12-double-zip-10.jpg,images/sm/np12-double-zip-10.jpg
dh2508-fibre,DH2508 Double-Handle Fibre Set,suitcases,Catalogue group 08 · Model DH2508,4-piece set (four graduated sizes),"Fibre-shell hardshell, double handle, spinner wheels",18000,Silver,images/lg/dh2508-fibre-1.jpg,images/sm/dh2508-fibre-1.jpg
dh2508-fibre,DH2508 Double-Handle Fibre Set,suitcases,Catalogue group 08 · Model DH2508,4-piece set (four graduated sizes),"Fibre-shell hardshell, double handle, spinner wheels",18000,Pink,images/lg/dh2508-fibre-2.jpg,images/sm/dh2508-fibre-2.jpg
dh2508-fibre,DH2508 Double-Handle Fibre Set,suitcases,Catalogue group 08 · Model DH2508,4-piece set (four graduated sizes),"Fibre-shell hardshell, double handle, spinner wheels",18000,Green,images/lg/dh2508-fibre-3.jpg,images/sm/dh2508-fibre-3.jpg
dh2508-fibre,DH2508 Double-Handle Fibre Set,suitcases,Catalogue group 08 · Model DH2508,4-piece set (four graduated sizes),"Fibre-shell hardshell, double handle, spinner wheels",18000,Lake Blue,images/lg/dh2508-fibre-4.jpg,images/sm/dh2508-fibre-4.jpg
dh2508-fibre,DH2508 Double-Handle Fibre Set,suitcases,Catalogue group 08 · Model DH2508,4-piece set (four graduated sizes),"Fibre-shell hardshell, double handle, spinner wheels",18000,Black,images/lg/dh2508-fibre-5.jpg,images/sm/dh2508-fibre-5.jpg
dh2508-fibre,DH2508 Double-Handle Fibre Set,suitcases,Catalogue group 08 · Model DH2508,4-piece set (four graduated sizes),"Fibre-shell hardshell, double handle, spinner wheels",18000,Red,images/lg/dh2508-fibre-6.jpg,images/sm/dh2508-fibre-6.jpg
dh2508-fibre,DH2508 Double-Handle Fibre Set,suitcases,Catalogue group 08 · Model DH2508,4-piece set (four graduated sizes),"Fibre-shell hardshell, double handle, spinner wheels",18000,Turquoise,images/lg/dh2508-fibre-7.jpg,images/sm/dh2508-fibre-7.jpg
dh2508-fibre,DH2508 Double-Handle Fibre Set,suitcases,Catalogue group 08 · Model DH2508,4-piece set (four graduated sizes),"Fibre-shell hardshell, double handle, spinner wheels",18000,Tan,images/lg/dh2508-fibre-8.jpg,images/sm/dh2508-fibre-8.jpg
dh2508-fibre,DH2508 Double-Handle Fibre Set,suitcases,Catalogue group 08 · Model DH2508,4-piece set (four graduated sizes),"Fibre-shell hardshell, double handle, spinner wheels",18000,Navy,images/lg/dh2508-fibre-9.jpg,images/sm/dh2508-fibre-9.jpg
dh2508-fibre,DH2508 Double-Handle Fibre Set,suitcases,Catalogue group 08 · Model DH2508,4-piece set (four graduated sizes),"Fibre-shell hardshell, double handle, spinner wheels",18000,Dark Blue,images/lg/dh2508-fibre-10.jpg,images/sm/dh2508-fibre-10.jpg
ribbed-rubber-09,Ribbed Rubber Suitcase Set,suitcases,Catalogue group 09,3-piece set,"Textured hardshell, mixed ribbed/sunburst shell patterns, spinner wheels",14500,Lilac,images/lg/ribbed-rubber-09-1.jpg,images/sm/ribbed-rubber-09-1.jpg
ribbed-rubber-09,Ribbed Rubber Suitcase Set,suitcases,Catalogue group 09,3-piece set,"Textured hardshell, mixed ribbed/sunburst shell patterns, spinner wheels",14500,Navy,images/lg/ribbed-rubber-09-2.jpg,images/sm/ribbed-rubber-09-2.jpg
ribbed-rubber-09,Ribbed Rubber Suitcase Set,suitcases,Catalogue group 09,3-piece set,"Textured hardshell, mixed ribbed/sunburst shell patterns, spinner wheels",14500,Lilac (alt),images/lg/ribbed-rubber-09-3.jpg,images/sm/ribbed-rubber-09-3.jpg
ribbed-rubber-09,Ribbed Rubber Suitcase Set,suitcases,Catalogue group 09,3-piece set,"Textured hardshell, mixed ribbed/sunburst shell patterns, spinner wheels",14500,Purple,images/lg/ribbed-rubber-09-4.jpg,images/sm/ribbed-rubber-09-4.jpg
ribbed-rubber-09,Ribbed Rubber Suitcase Set,suitcases,Catalogue group 09,3-piece set,"Textured hardshell, mixed ribbed/sunburst shell patterns, spinner wheels",14500,Navy (alt),images/lg/ribbed-rubber-09-5.jpg,images/sm/ribbed-rubber-09-5.jpg
ribbed-rubber-09,Ribbed Rubber Suitcase Set,suitcases,Catalogue group 09,3-piece set,"Textured hardshell, mixed ribbed/sunburst shell patterns, spinner wheels",14500,Sky Blue,images/lg/ribbed-rubber-09-6.jpg,images/sm/ribbed-rubber-09-6.jpg
ribbed-rubber-09,Ribbed Rubber Suitcase Set,suitcases,Catalogue group 09,3-piece set,"Textured hardshell, mixed ribbed/sunburst shell patterns, spinner wheels",14500,Blue,images/lg/ribbed-rubber-09-7.jpg,images/sm/ribbed-rubber-09-7.jpg
ribbed-rubber-09,Ribbed Rubber Suitcase Set,suitcases,Catalogue group 09,3-piece set,"Textured hardshell, mixed ribbed/sunburst shell patterns, spinner wheels",14500,Charcoal,images/lg/ribbed-rubber-09-8.jpg,images/sm/ribbed-rubber-09-8.jpg
ribbed-rubber-09,Ribbed Rubber Suitcase Set,suitcases,Catalogue group 09,3-piece set,"Textured hardshell, mixed ribbed/sunburst shell patterns, spinner wheels",14500,Navy Chevron,images/lg/ribbed-rubber-09-9.jpg,images/sm/ribbed-rubber-09-9.jpg
ribbed-rubber-09,Ribbed Rubber Suitcase Set,suitcases,Catalogue group 09,3-piece set,"Textured hardshell, mixed ribbed/sunburst shell patterns, spinner wheels",14500,Black,images/lg/ribbed-rubber-09-10.jpg,images/sm/ribbed-rubber-09-10.jpg
executive-blue,Executive Suitcase Set — Light Blue,suitcases,Catalogue group 10,2-piece set,"Hardshell with fabric side-panel, spinner wheels",16000,Light Blue,images/lg/executive-blue-1.jpg,images/sm/executive-blue-1.jpg
executive-blue,Executive Suitcase Set — Light Blue,suitcases,Catalogue group 10,2-piece set,"Hardshell with fabric side-panel, spinner wheels",16000,Light Blue (view 2),images/lg/executive-blue-2.jpg,images/sm/executive-blue-2.jpg
executive-blue,Executive Suitcase Set — Light Blue,suitcases,Catalogue group 10,2-piece set,"Hardshell with fabric side-panel, spinner wheels",16000,Light Blue (view 3),images/lg/executive-blue-3.jpg,images/sm/executive-blue-3.jpg
executive-blue,Executive Suitcase Set — Light Blue,suitcases,Catalogue group 10,2-piece set,"Hardshell with fabric side-panel, spinner wheels",16000,Light Blue (view 4),images/lg/executive-blue-4.jpg,images/sm/executive-blue-4.jpg
fibre-geo-panel,Fibre Suitcase Set — Geo Panel,suitcases,Catalogue group 12,4-piece set (four graduated sizes),"Fibre-shell hardshell, geometric panel texture, spinner wheels",16500,Tan,images/lg/fibre-geo-panel-1.jpg,images/sm/fibre-geo-panel-1.jpg
fibre-geo-panel,Fibre Suitcase Set — Geo Panel,suitcases,Catalogue group 12,4-piece set (four graduated sizes),"Fibre-shell hardshell, geometric panel texture, spinner wheels",16500,Navy,images/lg/fibre-geo-panel-2.jpg,images/sm/fibre-geo-panel-2.jpg
fibre-geo-panel,Fibre Suitcase Set — Geo Panel,suitcases,Catalogue group 12,4-piece set (four graduated sizes),"Fibre-shell hardshell, geometric panel texture, spinner wheels",16500,Black,images/lg/fibre-geo-panel-3.jpg,images/sm/fibre-geo-panel-3.jpg
fibre-geo-panel,Fibre Suitcase Set — Geo Panel,suitcases,Catalogue group 12,4-piece set (four graduated sizes),"Fibre-shell hardshell, geometric panel texture, spinner wheels",16500,Cyan,images/lg/fibre-geo-panel-4.jpg,images/sm/fibre-geo-panel-4.jpg
fibre-geo-panel,Fibre Suitcase Set — Geo Panel,suitcases,Catalogue group 12,4-piece set (four graduated sizes),"Fibre-shell hardshell, geometric panel texture, spinner wheels",16500,Red,images/lg/fibre-geo-panel-5.jpg,images/sm/fibre-geo-panel-5.jpg
fibre-geo-panel,Fibre Suitcase Set — Geo Panel,suitcases,Catalogue group 12,4-piece set (four graduated sizes),"Fibre-shell hardshell, geometric panel texture, spinner wheels",16500,Silver,images/lg/fibre-geo-panel-6.jpg,images/sm/fibre-geo-panel-6.jpg
fibre-angular-ribbed,Fibre Suitcase Set — Angular Ribbed,suitcases,Catalogue group 12,3-piece set,"Fibre-shell hardshell, angular ribbed texture, spinner wheels",15500,Teal,images/lg/fibre-angular-ribbed-1.jpg,images/sm/fibre-angular-ribbed-1.jpg
fibre-angular-ribbed,Fibre Suitcase Set — Angular Ribbed,suitcases,Catalogue group 12,3-piece set,"Fibre-shell hardshell, angular ribbed texture, spinner wheels",15500,Magenta,images/lg/fibre-angular-ribbed-2.jpg,images/sm/fibre-angular-ribbed-2.jpg
fibre-angular-ribbed,Fibre Suitcase Set — Angular Ribbed,suitcases,Catalogue group 12,3-piece set,"Fibre-shell hardshell, angular ribbed texture, spinner wheels",15500,Dark Green,images/lg/fibre-angular-ribbed-3.jpg,images/sm/fibre-angular-ribbed-3.jpg
fibre-angular-ribbed,Fibre Suitcase Set — Angular Ribbed,suitcases,Catalogue group 12,3-piece set,"Fibre-shell hardshell, angular ribbed texture, spinner wheels",15500,Pink,images/lg/fibre-angular-ribbed-4.jpg,images/sm/fibre-angular-ribbed-4.jpg
rubber-collection-13,Rubber Suitcase Collection — Style 13,suitcases,Catalogue group 13,3-piece set,"Textured hardshell, mixed shell patterns, spinner wheels",14500,Green,images/lg/rubber-collection-13-1.jpg,images/sm/rubber-collection-13-1.jpg
rubber-collection-13,Rubber Suitcase Collection — Style 13,suitcases,Catalogue group 13,3-piece set,"Textured hardshell, mixed shell patterns, spinner wheels",14500,Pink,images/lg/rubber-collection-13-2.jpg,images/sm/rubber-collection-13-2.jpg
rubber-collection-13,Rubber Suitcase Collection — Style 13,suitcases,Catalogue group 13,3-piece set,"Textured hardshell, mixed shell patterns, spinner wheels",14500,Teal,images/lg/rubber-collection-13-3.jpg,images/sm/rubber-collection-13-3.jpg
rubber-collection-13,Rubber Suitcase Collection — Style 13,suitcases,Catalogue group 13,3-piece set,"Textured hardshell, mixed shell patterns, spinner wheels",14500,Navy,images/lg/rubber-collection-13-4.jpg,images/sm/rubber-collection-13-4.jpg
rubber-collection-13,Rubber Suitcase Collection — Style 13,suitcases,Catalogue group 13,3-piece set,"Textured hardshell, mixed shell patterns, spinner wheels",14500,Grey,images/lg/rubber-collection-13-5.jpg,images/sm/rubber-collection-13-5.jpg
rubber-collection-13,Rubber Suitcase Collection — Style 13,suitcases,Catalogue group 13,3-piece set,"Textured hardshell, mixed shell patterns, spinner wheels",14500,Navy (alt),images/lg/rubber-collection-13-6.jpg,images/sm/rubber-collection-13-6.jpg
rubber-collection-13,Rubber Suitcase Collection — Style 13,suitcases,Catalogue group 13,3-piece set,"Textured hardshell, mixed shell patterns, spinner wheels",14500,Teal (alt),images/lg/rubber-collection-13-7.jpg,images/sm/rubber-collection-13-7.jpg
rubber-collection-13,Rubber Suitcase Collection — Style 13,suitcases,Catalogue group 13,3-piece set,"Textured hardshell, mixed shell patterns, spinner wheels",14500,Pink (alt),images/lg/rubber-collection-13-8.jpg,images/sm/rubber-collection-13-8.jpg
rubber-collection-13,Rubber Suitcase Collection — Style 13,suitcases,Catalogue group 13,3-piece set,"Textured hardshell, mixed shell patterns, spinner wheels",14500,Green (alt),images/lg/rubber-collection-13-9.jpg,images/sm/rubber-collection-13-9.jpg
rubber-collection-13,Rubber Suitcase Collection — Style 13,suitcases,Catalogue group 13,3-piece set,"Textured hardshell, mixed shell patterns, spinner wheels",14500,Rose Gold,images/lg/rubber-collection-13-10.jpg,images/sm/rubber-collection-13-10.jpg
chrisbella-bags,Chrisbella Bag & Wallet Set,tote-bags,Catalogue group 14 · Chrisbella,Handbag + matching wallet,"Structured faux-leather, gold-tone hardware",6500,Cognac,images/lg/chrisbella-bags-1.jpg,images/sm/chrisbella-bags-1.jpg
chrisbella-bags,Chrisbella Bag & Wallet Set,tote-bags,Catalogue group 14 · Chrisbella,Handbag + matching wallet,"Structured faux-leather, gold-tone hardware",6500,Burgundy,images/lg/chrisbella-bags-2.jpg,images/sm/chrisbella-bags-2.jpg
chrisbella-bags,Chrisbella Bag & Wallet Set,tote-bags,Catalogue group 14 · Chrisbella,Handbag + matching wallet,"Structured faux-leather, gold-tone hardware",6500,Grey,images/lg/chrisbella-bags-3.jpg,images/sm/chrisbella-bags-3.jpg
chrisbella-bags,Chrisbella Bag & Wallet Set,tote-bags,Catalogue group 14 · Chrisbella,Handbag + matching wallet,"Structured faux-leather, gold-tone hardware",6500,Cream & Tan,images/lg/chrisbella-bags-4.jpg,images/sm/chrisbella-bags-4.jpg
chrisbella-bags,Chrisbella Bag & Wallet Set,tote-bags,Catalogue group 14 · Chrisbella,Handbag + matching wallet,"Structured faux-leather, gold-tone hardware",6500,Olive,images/lg/chrisbella-bags-5.jpg,images/sm/chrisbella-bags-5.jpg
